Median Household Income,state,place,Median Gross Rent,Median Home Value (Owner Occupied)
76250.0,2,27530,1177.0,122900.0
46111.0,2,27640,810.0,
,2,27700,,
110610.0,2,28200,1242.0,335000.0
37500.0,2,28590,,208900.0
74241.0,2,28740,926.0,201000.0
68216.0,2,29130,719.0,249400.0
54375.0,2,29180,,92500.0
23500.0,2,29290,,165000.0
32500.0,2,30060,575.0,83900.0
50833.0,2,30500,488.0,
76500.0,2,30940,1344.0,263800.0
64430.0,2,31050,817.0,261100.0
73000.0,2,31270,,350000.0
45952.0,2,31710,,201400.0
69397.0,2,31765,,340000.0
89531.0,2,32150,1000.0,253200.0
11667.0,2,32310,,325000.0
,2,32550,,
52450.0,2,32810,,240000.0
30833.0,2,33030,683.0,42100.0
63854.0,2,33140,1136.0,309500.0
64432.0,2,33360,1137.0,220500.0
33281.0,2,33470,,57000.0
2499.0,2,33580,,238500.0
53409.0,2,33800,735.0,185500.0
21250.0,2,33910,,
44375.0,2,34350,875.0,48000.0
45938.0,2,34460,667.0,113600.0
,2,34570,,
78750.0,2,34790,,325000.0
,2,35120,,320000.0
,2,35890,,
90126.0,2,36400,1319.0,358200.0
63571.0,2,36540,1327.0,316900.0
64000.0,2,36770,817.0,169300.0
78250.0,2,36990,,102100.0
82436.0,2,37250,1231.0,246200.0
28750.0,2,37430,625.0,
,2,37540,,112500.0
75417.0,2,37650,938.0,283300.0
43125.0,2,37975,638.0,
,2,38090,,616700.0
70732.0,2,38420,1090.0,233400.0
,2,38910,,174000.0
68125.0,2,38970,1166.0,270200.0
58000.0,2,39300,933.0,109400.0
71591.0,2,39410,845.0,109600.0
93750.0,2,39630,1167.0,225000.0
35357.0,2,39740,308.0,48300.0
59688.0,2,39960,836.0,107900.0
53750.0,2,40400,794.0,190700.0
37917.0,2,40510,513.0,
88708.0,2,40645,1408.0,256300.0
70078.0,2,40670,847.0,220000.0
29688.0,2,40840,1031.0,115600.0
67391.0,2,40950,1248.0,264500.0
92734.0,2,41210,2394.0,
29583.0,2,41280,,63300.0
56500.0,2,41500,850.0,97500.0
57083.0,2,41610,492.0,150800.0
47833.0,2,41720,825.0,57300.0
95385.0,2,41830,1463.0,246400.0
33438.0,2,41940,613.0,77200.0
20893.0,2,42050,,80000.0
,2,42160,,
31250.0,2,42380,,51000.0
57250.0,2,42490,519.0,152900.0
,2,42805,,
,2,42820,,
87917.0,2,43040,,92500.0
79934.0,2,43260,933.0,279700.0
19750.0,2,43810,,
,2,44030,,
,2,44580,,
,2,45020,,
,2,45295,,
31719.0,2,45460,,157800.0
,2,45700,,
,2,45790,,
48750.0,2,46010,950.0,78300.0
,2,46780,,50000.0
42125.0,2,46890,550.0,75400.0
40625.0,2,47000,,24600.0
75673.0,2,47735,1126.0,241000.0
33750.0,2,47990,519.0,103600.0
68462.0,2,48200,,225000.0
,2,48540,313.0,
,2,48590,,
58229.0,2,48870,600.0,155600.0
107892.0,2,49200,1801.0,372700.0
,2,49530,792.0,
108264.0,2,50080,1308.0,185100.0
84148.0,2,50190,,271600.0
127902.0,2,50800,,211300.0
